Company,Location_HQ,Industry,Laid_Off_Count,Percentage,Date,Source,Funds_Raised,Stage,Date_Added,Country,List_of_Employees_Laid_Off
Uber,Bengaluru,Transportation,600,0.23,5/26/20,https://www.reuters.com/article/us-india-uber-layoffs/uber-cuts-600-jobs-in-india-as-lockdown-hits-business-idUSKBN2320S3,24700,Post-IPO,5/26/20 13:56,India,Unknown
Uber,SF Bay Area,Transportation,3000,0.13,5/18/20,https://layoffs.fyi/2020/05/18/uber-lays-off-3000-more-employees-on-top-of-the-3700-laid-off-earlier-this-month/,24700,Post-IPO,5/18/20 15:28,United States,Unknown
Uber,SF Bay Area,Transportation,3700,0.14,5/6/20,https://layoffs.fyi/2020/05/12/uber-laid-off-3700-employees-with-more-expected/,24700,Post-IPO,5/6/20 13:49,United States,Unknown
WeWork ,New York City,Real Estate,300,,1/19/23,https://investors.wework.com/news-and-events/press-releases/financial-releases-details/2023/WeWork-Announces-Date-of-Fourth-Quarter-and-Full-Year-2022-Results-Conference-Call/default.aspx,22200,Post-IPO,1/19/23 17:03,United States,Unknown
Tesla,Austin,Transportation,,0.1,6/3/22,https://www.cnbc.com/2022/06/03/heres-the-email-elon-musk-sent-all-tesla-employees-10percent-job-cuts.html,20200,Post-IPO,11/10/22 0:54,United States,Unknown
WeWork ,Shenzen,Real Estate,,,9/23/20,https://techcrunch.com/2020/09/23/wework-sells-majority-stake-in-chinese-entity-seeks-localization/,19500,Series H,9/28/20 19:49,China,Unknown
WeWork,London,Real Estate,200,,6/19/20,https://www.wired.co.uk/article/wework-redundancies-uk-restructure,19500,Series H,6/27/20 18:14,United Kingdom,Unknown
WeWork,New Delhi,Real Estate,100,0.2,5/18/20,https://www.newindianexpress.com/business/2020/may/18/tough-step-needed-for-sustainable-structure-wework-india-lays-off-20-per-cent-staff-amid-covid-19-2144959.html,19500,Series H,5/19/20 4:25,India,Unknown
Grab,Singapore,Transportation,1000,0.11,6/20/23,https://www.reuters.com/technology/singapores-grab-informs-staff-1000-layoffs-2023-06-20/,16500,Post-IPO,6/20/23 15:56,Singapore,Unknown
Cruise,SF Bay Area,Transportation,900,0.24,12/14/23,https://techcrunch.com/2023/12/14/cruise-slashes-24-of-self-driving-car-workforce-in-sweeping-layoffs/,15000,Acquired,12/14/23 16:08,United States,https://docs.google.com/spreadsheets/d/1dO112P-Hpogpg6j6dFyDj18-nS2URRaoymEK0YUgu8s/edit#gid=1000625199
Flipkart,Bengaluru,Retail,1100,0.05,1/8/24,https://www.republicworld.com/business/industry/flipkart-reportedly-to-lay-off-over-1000-employees/,12900,Acquired,1/13/24 16:13,India,Unknown
Flipkart,Bengaluru,Retail,,,3/2/23,https://economictimes.indiatimes.com/prime/technology-and-startups/inside-flipkarts-downsizing-drive-layoffs-meagre-pay-hikes-more-pips/primearticleshow/98342831.cms,12900,Acquired,3/7/23 1:23,India,Unknown
Twitter,SF Bay Area,Consumer,200,0.1,2/25/23,https://www.nytimes.com/2023/02/26/technology/twitter-layoffs.html,12900,Post-IPO,2/26/23 20:58,United States,Unknown
Twitter,SF Bay Area,Consumer,40,,1/5/23,https://www.theinformation.com/articles/musk-lays-off-twitter-engineers-working-on-advertising-as-ad-revenue-shrinks,12900,Post-IPO,1/6/23 23:15,United States,Unknown
Twitter,SF Bay Area,Consumer,3700,0.5,11/4/22,https://www.nytimes.com/2022/11/04/technology/elon-musk-twitter-layoffs.html,12900,Post-IPO,11/4/22 14:48,United States,https://docs.google.com/spreadsheets/d/1OoD3pVxFl718fnxs_cEaOIbcj-45-qNKZFnE1jQW86M/edit#gid=0
Tencent,Shenzen,Consumer,300,,2/17/23,https://brandequity.economictimes.indiatimes.com/news/digital/tencent-says-is-making-personnel-adjustments-after-report-of-layoffs/97998975,12600,Post-IPO,2/17/23 17:26,China,Unknown
Tencent,Shenzen,Consumer,,,11/15/22,https://www.reuters.com/technology/chinas-tencent-starts-new-round-layoffs-sources-2022-11-15/,12600,Post-IPO,11/17/22 4:26,China,Unknown
Rivian,Detroit,Transportation,20,,12/7/23,https://www.theinformation.com/articles/exclusive-from-the-electric-rivian-becomes-the-latest-to-lay-off-battery-workers,10700,Post-IPO,12/22/23 1:02,United States,Unknown
Rivian,Detroit,Transportation,,0.06,2/1/23,https://www.reuters.com/business/autos-transportation/ev-maker-rivian-cut-6-jobs-amid-price-war-internal-memo-2023-02-01/,10700,Post-IPO,2/1/23 17:04,United States,Unknown
Rivian,Detroit,Transportation,840,0.06,7/27/22,https://www.cnn.com/2022/07/27/business/rivian-layoffs/index.html,10700,Post-IPO,7/28/22 3:24,United States,Unknown
Delivery Hero,Berlin,Food,,,12/18/23,https://www.bloomberg.com/news/articles/2023-12-18/delivery-hero-closes-hubs-in-taiwan-turkey-in-push-to-cut-costs,9900,Post-IPO,12/18/23 18:41,Germany,Unknown
Delivery Hero,Berlin,Food,156,0.04,1/30/23,https://newsingermany.com/delivery-hero-lays-off-four-percent-of-employees-at-headquarters/,9900,Post-IPO,1/31/23 1:27,Germany,https://docs.google.com/spreadsheets/d/1MQMMYWR1e41pw1fc4qOPgfvCCe0zkCRTysIW9rHlioI/edit#gid=1649408084
Grab,Singapore,Transportation,360,0.05,6/16/20,https://layoffs.fyi/2020/06/24/official-grab-layoff-list-released-following-360-person-layoff/,9900,Series I,6/16/20 13:43,Singapore,Unknown
Bytedance,Shanghai,Consumer,1000,,11/27/23,https://asia.nikkei.com/Business/China-tech/TikTok-parent-ByteDance-to-cut-1-000-gaming-jobs-in-strategic-shift,9400,Unknown,11/27/23 16:56,China,Unknown
TikTok India,Mumbai,Consumer,40,,2/10/23,https://www.livemint.com/technology/tech-news/tiktok-sacks-entire-india-staff-report-11676001745604.html,9400,Acquired,2/10/23 16:57,India,Unknown
ByteDance,Shanghai,Consumer,,0.1,1/3/23,https://pandaily.com/bytedance-initiates-layoffs-for-10-of-staff/,9400,Unknown,1/4/23 16:08,China,Unknown
Bytedance,Shanghai,Consumer,150,,6/17/22,https://www.bloomberg.com/news/articles/2022-06-17/bytedance-disbands-shanghai-games-studio-in-expansion-setback#xj4y7vzkg,9400,Unknown,6/17/22 16:28,China,Unknown
Bytedance,Shanghai,Consumer,1800,,8/5/21,https://www.reuters.com/world/china/bytedance-lay-off-staff-close-businesses-over-china-tutoring-clampdown-sources-2021-08-05/,9400,Unknown,8/5/21 19:34,China,Unknown
Stripe,SF Bay Area,Finance,,,6/29/23,https://www.theinformation.com/articles/stripe-lays-off-dozens-mostly-in-recruiting,8700,Series I,6/30/23 15:04,United States,Unknown
Sea,Singapore,Consumer,,,9/2/22,https://www.peoplematters.in/news/technology/singapores-sea-cuts-jobs-in-gaming-arm-in-second-round-of-layoffs-35132,8600,Post-IPO,9/2/22 23:24,Singapore,Unknown
Sea,Bengaluru,Retail,350,,3/30/22,https://www.techinasia.com/shopee-indias-over-300-staff-lurch-checks-out-country,8600,Post-IPO,3/30/22 22:01,India,Unknown
Lucid Motors,SF Bay Area,Transportation,1300,0.18,3/28/23,https://techcrunch.com/2023/03/28/lucid-to-lay-off-1300-employees-in-restructuring/,8300,Post-IPO,3/29/23 0:54,United States,Unknown
Delivery Hero,Berlin,Food,100,,11/3/22,https://mobile.twitter.com/GergelyOrosz/status/1588220445039497222,8300,Post-IPO,11/5/22 3:40,Germany,Unknown
Delivery Hero,Berlin,Food,300,,12/22/21,https://www.businessinsider.de/gruenderszene/food/nach-foodpanda-aus-delivery-hero-kuendigt-300-mitarbeitern-b/,8300,Post-IPO,12/30/21 21:33,Germany,Unknown
Xiaomi,Beijing,Consumer,,,12/19/22,https://technode.com/2022/12/19/chinese-phone-maker-xiaomi-begins-large-scale-layoffs-report/,7400,Post-IPO,12/19/22 16:46,United States,Unknown
Bytedance,Mumbai,Consumer,1800,,1/27/21,https://entrackr.com/2021/01/bytedance-set-to-wrap-up-indian-ops-and-lay-off-over-1800-employees/,7400,Unknown,1/28/21 0:27,India,Unknown
Lazada Group ,Singapore,Retail,100,0.3,1/3/24,https://www.channelnewsasia.com/singapore/lazada-layoffs-retrenchment-job-cuts-employees-4024746,7200,Acquired,1/5/24 1:21,Singapore,https://docs.google.com/spreadsheets/d/1qFkx3AL4IpRjokfRhjXPmjreygZGvd_1_2A7HVH0ctE/htmlview#gid=0
NIO,Shanghai,Transportation,,0.1,11/3/23,https://www.bloomberg.com/news/articles/2023-11-03/chinese-ev-maker-nio-to-cut-10-of-staff-positions-and-may-spin-off-businesses#xj4y7vzkg,7200,Post-IPO,11/6/23 16:09,China,Unknown
Epic Games,Raleigh,Consumer,870,0.16,9/28/23,https://techcrunch.com/2023/09/28/fortnite-maker-epic-games-is-laying-off-16-of-its-workforce/,6400,Unknown,9/28/23 18:31,United States,Unknown
Airbnb,SF Bay Area,Travel,30,,3/3/23,https://www.bloomberg.com/news/articles/2023-03-03/airbnb-layoffs-hit-recruiting-staff-even-as-it-selectively-hires,6400,Post-IPO,3/4/23 3:56,United States,Unknown
Apple,SF Bay Area,Retail,,,4/3/23,https://www.bloomberg.com/news/articles/2023-04-03/apple-to-make-small-number-of-job-cuts-in-some-corporate-retail-teams#xj4y7vzkg,6200,Post-IPO,4/5/23 16:10,United States,Unknown
Medtronic,SF Bay Area,Healthcare,59,,4/12/23,https://www.massdevice.com/medtronic-layoffs-california/,5900,Post-IPO,4/14/23 3:06,United States,Unknown
Twitter,SF Bay Area,Consumer,,,7/7/22,https://www.wsj.com/articles/twitter-lays-off-third-of-talent-team-11657227105,5700,Post-IPO,7/7/22 21:02,United States,Unknown
Robinhood,SF Bay Area,Finance,,,9/21/23,https://www.businessinsider.com/robinhood-layoffs-reorganization-credit-cards-shrinking-user-base-insiders-say-2023-9,5600,Post-IPO,9/24/23 17:42,United States,Unknown
Robinhood,SF Bay Area,Finance,150,0.07,6/26/23,https://www.wsj.com/articles/robinhood-lays-off-about-7-of-its-full-time-employees-2111cb48,5600,Post-IPO,6/26/23 23:36,United States,Unknown
Robinhood,SF Bay Area,Finance,713,0.23,8/2/22,https://techcrunch.com/2022/08/02/robinhood-23-layoff-vlad-tenev-responsibility-hiring/,5600,Post-IPO,8/2/22 20:29,United States,Unknown
Robinhood,SF Bay Area,Finance,340,0.09,4/26/22,https://www.cnbc.com/2022/04/26/robinhood-cutting-about-9percent-of-full-time-employees.html,5600,Post-IPO,4/26/22 20:57,United States,Unknown
Waymo,SF Bay Area,Transportation,,,10/17/23,https://sfstandard.com/2023/10/17/tech-layoffs-waymo-san-francisco-robotaxi/,5500,Subsidiary,10/17/23 22:34,United States,Unknown
Byju's,Bengaluru,Education,1000,,6/7/23,https://themorningcontext.com/internet/byjus-to-lay-off-1000-employees,5500,Private Equity,6/9/23 18:57,India,Unknown
Waymo,SF Bay Area,Transportation,209,0.08,3/1/23,https://www.theinformation.com/articles/alphabets-robotaxi-unit-waymo-says-it-laid-off-8,5500,Subsidiary,3/2/23 4:08,United States,Unknown
Byju's,Bengaluru,Education,1500,,2/2/23,https://www.livemint.com/companies/start-ups/edtech-firm-byju-s-lays-off-nearly-1-500-employees-11675343777644.html,5500,Private Equity,2/2/23 15:50,India,Unknown
Byju's,Bengaluru,Education,2500,0.05,10/12/22,https://techcrunch.com/2022/10/12/indian-edtech-giant-byjus-cuts-2500-jobs/,5500,Private Equity,10/12/22 19:59,India,Unknown
Airbnb,SF Bay Area,Travel,1900,0.25,5/5/20,https://layoffs.fyi/2020/05/07/airbnb-laid-off-1900-employees/,5400,Private Equity,5/5/20 19:32,United States,Unknown
Cruise,SF Bay Area,Transportation,150,0.08,5/14/20,https://www.theverge.com/2020/5/14/21259001/cruise-gm-layoff-self-driving-unit-recruiting-product-design,5300,Acquired,5/14/20 19:22,United States,Unknown
JD.ID,Jakarta,Retail,200,0.3,12/14/22,https://jakartaglobe.id/business/jdid-layoffs-reflect-struggles-in-indonesian-startup-industry,5100,Post-IPO,12/15/22 2:19,Indonesia,Unknown
Ola,Bengaluru,Transportation,200,,1/13/23,https://www.businesstoday.in/latest/corporate/story/ola-fires-200-people-in-fresh-round-of-layoffs-360051-2023-01-13,5000,Series J,1/13/23 14:50,India,Unknown
Ola,Bengaluru,Transportation,200,,9/19/22,https://inc42.com/buzz/ola-lays-off-200-software-engineers-amidst-massive-restructuring-plan/,5000,Series J,9/19/22 23:24,India,Unknown
Ola,Bengaluru,Transportation,1000,,7/29/22,https://economictimes.indiatimes.com/tech/startups/ola-to-fire-about-1000-employees-across-verticals-even-as-focus-shifts-to-electric-mobility/articleshow/93194411.cms,5000,Series J,7/29/22 16:10,India,Unknown
Snap,Los Angeles,Consumer,20,,11/8/23,https://www.theinformation.com/articles/snap-lays-off-product-managers-as-spiegel-revamps-workforce,4900,Post-IPO,11/9/23 4:18,United States,Unknown
Snap,Los Angeles,Consumer,170,,9/27/23,https://newsroom.snap.com/ar-enterprise-strategic-review,4900,Post-IPO,9/28/23 0:03,United States,Unknown
Lyft,SF Bay Area,Transportation,1072,0.26,4/21/23,https://www.cnbc.com/2023/04/27/lyft-layoffs-company-to-cut-1072-employees-or-26percent-of-its-workforce.html,4900,Post-IPO,4/21/23 16:30,United States,https://www.lyft.com/blog/posts/lyft-talent-directory
Lyft,SF Bay Area,Transportation,700,0.13,11/3/22,https://www.wsj.com/articles/lyft-plans-to-lay-off-hundreds-of-staffers-11667490092,4900,Post-IPO,11/3/22 15:55,United States,https://docs.google.com/spreadsheets/d/1TAEhC3gGu_ooKIDSTiX9OYUIjAHf7doS-lYyzTR_miY/edit
Snap,Los Angeles,Consumer,1280,0.2,8/31/22,https://www.theverge.com/2022/8/30/23329301/snap-layoffs-20-percent-employees-snapchat,4900,Post-IPO,8/30/22 20:55,United States,Unknown
Lyft,SF Bay Area,Transportation,60,0.02,7/20/22,https://www.wsj.com/articles/lyft-lays-off-about-60-employees-folds-its-car-rentals-for-riders-11658340622,4900,Post-IPO,7/20/22 18:27,United States,Unknown
Lyft,SF Bay Area,Transportation,982,0.17,4/29/20,https://layoffs.fyi/2020/04/30/lyft-laid-off-982-employees/,4900,Post-IPO,4/29/20 16:16,United States,Unknown
Gojek,Jakarta,Transportation,430,0.09,6/23/20,https://layoffs.fyi/2020/08/06/gojek-creates-talent-directory-following-430-person-layoff/,4800,Series F,6/23/20 22:28,Indonesia,Unknown
HP,Tel Aviv,Hardware,100,,2/19/23,https://www.themarker.com/technation/2023-02-19/ty-article/.premium/00000186-692c-d22b-ad9e-7f6e08aa0000,4200,Post-IPO,2/20/23 4:15,Israel,Unknown
Nubank,Sao Paulo,Finance,296,,6/7/23,https://brazilian.report/liveblog/politics-insider/2023/06/07/nubank-layoffs-restructuring/,4100,Post-IPO,6/8/23 17:27,Brazil,Unknown
Nubank,Sao Paulo,Finance,30,,3/15/23,https://brazilian.report/liveblog/politics-insider/2023/06/07/nubank-layoffs-restructuring/,4100,Post-IPO,6/8/23 17:28,Brazil,Unknown
Nubank,Sao Paulo,Finance,40,,1/31/23,https://valorinveste.globo.com/mercados/renda-variavel/empresas/noticia/2023/01/31/nubank-demite-40-pessoas-e-fecha-rea-de-assessoria-de-investimentos.ghtml,4100,Post-IPO,6/8/23 17:28,Brazil,Unknown
OYO,Gurugram,Travel,600,,12/3/22,https://www.livemint.com/companies/news/oyo-to-layoff-600-execs-across-technology-teams-hire-250-for-sales-11670056711013.html,4000,Series F,12/4/22 22:53,India,Unknown
Ola,Bengaluru,Transportation,1400,0.35000000000000003,5/20/20,https://techcrunch.com/2020/05/20/indian-ride-hailing-firm-ola-cuts-1400-jobs/,3800,Series J,5/20/20 13:48,India,Unknown
Aurora,Pittsburgh,Transportation,,0.03,1/24/24,https://techcrunch.com/2024/01/24/self-driving-vehicle-company-aurora-cuts-3-of-its-workforce/,3700,Post-IPO,1/25/24 14:31,United States,Unknown
Bilibili,Shanghai,Media,,0.3,12/27/22,https://technode.com/2022/12/27/bilibili-reportedly-cuts-30-of-staff-across-operations-gaming-and-streaming-units/,3700,Post-IPO,12/30/22 15:59,China,Unknown
Klarna,Stockholm,Finance,100,,9/22/22,https://sifted.eu/articles/klarna-second-round-layoffs/,3700,Unknown,9/22/22 15:14,Sweden,Unknown
Klarna,Stockholm,Finance,700,0.1,5/23/22,https://www.di.se/digital/sparpaket-pa-klarna-sparkar-10-procent-av-alla-anstallda/,3700,Unknown,5/23/22 15:56,Sweden,Unknown
Swiggy,Bengaluru,Food,400,0.07,1/25/24,https://techcrunch.com/2024/01/25/swiggy-to-cut-another-400-jobs-ahead-of-ipo-later-this-year/,3600,Unknown,1/25/24 14:45,India,Unknown
Swiggy,Bengaluru,Food,380,0.06,1/20/23,https://economictimes.indiatimes.com/tech/startups/swiggy-to-layoff-380-employees-ceo-majety-tells-staff/articleshow/97164568.cms,3600,Unknown,1/20/23 1:19,India,Unknown
Swiggy,Bengaluru,Food,250,0.03,12/8/22,https://inc42.com/buzz/swiggy-fire-250-employees-further-layoffs-store/,3600,Unknown,12/9/22 5:00,India,Unknown
Argo AI,SF Bay Area,Transportation,259,,11/1/22,https://www.bizjournals.com/sanjose/news/2023/01/03/argo-ai-lays-off-259-palo-alto-employes.html,3600,Unknown,1/5/23 6:44,United States,Unknown
Argo AI,Pittsburgh,Transportation,173,,10/26/22,https://www.autonews.com/mobility-report/argo-ai-lay-173-startup-folds,3600,Unknown,10/26/22 23:23,United States,Unknown
Argo AI,Pittsburgh,Transportation,150,0.05,7/7/22,https://techcrunch.com/2022/07/07/ford-vw-backed-argo-ai-lays-off-150-workers-slows-hiring/,3600,Unknown,7/8/22 15:40,United States,Unknown
Argo AI,Munich,Transportation,100,,6/29/20,https://www.theinformation.com/briefings/58401b,3600,Unknown,6/29/20 18:01,Germany,Unknown
Verily,SF Bay Area,Healthcare,250,0.15,1/11/23,https://www.theinformation.com/articles/alphabets-verily-lays-off-staff,3500,Unknown,1/11/23 21:24,United States,Unknown
Gopuff,Philadelphia,Food,100,0.02,3/9/23,https://www.bloomberg.com/news/articles/2023-03-09/gopuff-fires-2-of-workforce-in-latest-round-of-job-cuts#xj4y7vzkg,3400,Series H,3/10/23 5:21,United States,Unknown
Gopuff,Philadelphia,Food,250,,10/19/22,https://www.bloomberg.com/news/articles/2022-10-19/gopuff-fires-hundreds-more-staff-in-third-round-of-layoffs,3400,Series H,10/20/22 23:17,United States,Unknown
Gopuff,Philadelphia,Food,1500,0.1,7/12/22,https://www.bloomberg.com/news/articles/2022-07-12/gopuff-is-cutting-10-jobs-in-us-closing-warehouses-to-preserve-cash,3400,Series H,7/12/22 15:39,United States,Unknown
Thrasio,Boston,Retail,,,5/2/22,https://techcrunch.com/2022/05/02/amazon-aggregator-thrasio-begins-layoffs-names-new-ceo/,3400,Unknown,5/2/22 23:32,United States,Unknown
Gopuff,Philadelphia,Food,450,0.03,3/29/22,https://www.theinformation.com/articles/gopuff-plans-hundreds-of-layoffs-to-cut-40-million-in-costs,3400,Series H,3/30/22 15:13,United States,Unknown
Gopuff,Philadelphia,Food,100,,1/26/22,https://www.businessinsider.com/gopuff-eliminates-about-100-jobs-control-costs-before-potential-ipo-2022-1,3400,Series H,2/4/22 16:58,United States,Unknown
Expedia,Seattle,Travel,100,,10/17/23,https://skift.com/2023/10/17/expedia-laid-off-around-100-employees-in-second-round-of-job-cuts/,3300,Post-IPO,10/17/23 23:07,United States,Unknown
Expedia,Seattle,Travel,,,8/31/23,https://www.geekwire.com/2023/internal-email-expedia-group-lays-off-some-tech-workers-in-latest-move-to-reshape-its-workforce/,3300,Post-IPO,9/4/23 23:11,United States,Unknown
Expedia,Seattle,Travel,,,7/12/23,https://www.phocuswire.com/expedia-group-lays-of-staff-us-and-abroad,3300,Post-IPO,7/17/23 23:03,United States,Unknown
Nikola,Phoenix,Transportation,270,,6/16/23,https://www.reuters.com/business/autos-transportation/electric-truck-maker-nikola-laying-off-270-employees-2023-06-16/,3300,Post-IPO,6/17/23 23:42,United States,Unknown
Expedia,Seattle,Travel,,,3/21/23,https://www.geekwire.com/2023/expedia-group-lays-off-workers-as-part-of-strategic-actions/,3300,Post-IPO,3/22/23 23:59,United States,Unknown
OYO,Gurugram,Travel,600,,12/8/20,https://www.forbesindia.com/news/business/startup/exclusive-oyo-lays-off-another-600-800-employees-as-it-moves-to-a-revenue-sharing-model-6202571.html,3200,Series F,12/9/20 5:22,India,Unknown
OYO,Dallas,Travel,,,6/24/20,https://skift.com/2020/06/25/oyo-will-lay-off-most-of-its-furloughed-u-s-employees/,3200,Series F,7/9/20 17:29,United States,Unknown
Rivian,Detroit,Transportation,40,0.02,6/2/20,https://www.theverge.com/2020/6/2/21278019/rivian-layoffs-new-chief-operating-officer-harley-davidson,3100,Private Equity,6/3/20 13:19,United States,Unknown
SoFi,SF Bay Area,Finance,,0.04,1/10/24,https://twitter.com/SoFiIR/status/1745100766681960696,3000,Post-IPO,1/12/24 4:26,United States,Unknown
Palantir,Denver,Data,75,0.02,2/27/23,https://www.cnbc.com/2023/02/27/palantir-layoffs-75-employees-2percent-of-workforce.html,3000,Post-IPO,2/27/23 23:40,United States,Unknown
SoFi,SF Bay Area,Finance,,,1/30/23,https://www.americanbanker.com/news/sofis-bank-charter-drives-positive-outlook-though-layoffs-hit-tech-unit,3000,Post-IPO,1/31/23 4:38,United States,Unknown
OneWeb,London,Aerospace,451,0.85,3/27/20,https://spacenews.com/oneweb-files-for-chapter-11-bankruptcy/,3000,Unknown,3/28/20 20:52,United Kingdom,Unknown
Instacart,SF Bay Area,Food,,,9/24/22,https://www.theinformation.com/articles/instacart-cuts-staff-curbs-hiring-in-run-up-to-ipo,2900,Unknown,9/26/22 15:44,United States,Unknown
Just Eat Takeaway,Amsterdam,Food,390,,7/20/22,https://www.reuters.com/business/retail-consumer/just-eat-takeaway-cut-staff-france-spokesperson-says-2022-07-20/,2800,Post-IPO,7/20/22 15:08,Netherlands,Unknown
Uber Freight,SF Bay Area,Logistics,40,,1/9/24,https://www.freightwaves.com/news/digital-brokerage-uber-freight-slashes-jobs,2700,Subsidiary,1/11/24 19:13,United States,Unknown
Uber Freight,SF Bay Area,Logistics,40,,7/13/23,https://www.freightwaves.com/news/uber-freight-lays-off-as-many-as-50-brokerage-employees,2700,Subsidiary,7/14/23 18:19,United States,Unknown
Take-Two Interactive,New York City,Consumer,,,3/7/23,https://www.gamespot.com/articles/gta-parent-company-confirms-layoffs-primarily-impacting-non-development-positions/1100-6512117/,2700,Post-IPO,3/8/23 5:08,United States,Unknown
Uber Freight,SF Bay Area,Logistics,150,0.03,1/23/23,https://www.freightwaves.com/news/uber-freight-cutting-about-150-jobs-all-in-brokerage-operations,2700,Subsidiary,1/24/23 16:24,United States,Unknown
SenseTime,Hong Kong,AI,,,8/28/23,https://technode.com/2023/08/28/chinese-ai-company-sensetime-initiates-new-round-of-layoffs-in-overhaul/,2600,Post-IPO,8/28/23 20:33,Hong Kong,Unknown
Magic Leap,Miami,Consumer,1000,0.5,4/22/20,https://layoffs.fyi/2020/04/27/magic-leap-laid-off-1000-employees/,2600,Series E,4/22/20 16:59,United States,Unknown
Invitae,SF Bay Area,Healthcare,235,0.15,12/13/23,https://sfstandard.com/2023/12/19/tech-layoffs-san-francisco-invitae/,2500,Post-IPO,12/15/23 1:39,United States,Unknown
DoorDash,SF Bay Area,Food,1250,0.06,11/30/22,https://www.reuters.com/business/retail-consumer/doordash-cuts-1250-jobs-an-effort-rein-expenses-2022-11-30/,2500,Post-IPO,11/30/22 15:21,United States,https://docs.google.com/spreadsheets/d/1fsgEbzAo9Fgy-v7J_KGIaJxuzEBQfgBKC097tgvr_pY/edit#gid=383975823
SoFi,SF Bay Area,Finance,112,0.07,5/20/20,https://www.businessinsider.com/sofi-cut-7-percent-staff-quarterely-performance-reviews-2020-5,2500,Private Equity,5/20/20 21:23,United States,Unknown
Flexport,SF Bay Area,Logistics,,0.2,1/26/24,https://www.theinformation.com/articles/flexport-to-lay-off-nearly-20-of-staff-in-latest-cuts,2400,Series E,1/26/24 19:48,United States,Unknown
Splunk,SF Bay Area,Data,500,0.07,11/1/23,https://www.cnbc.com/2023/11/01/splunk-layoffs-7percent-of-workforce-to-be-cut-ahead-of-cisco-acquisition.html,2400,Post-IPO,11/1/23 15:56,United States,Unknown
Flexport,SF Bay Area,Logistics,,0.2,10/13/23,https://www.cnbc.com/2023/10/12/flexport-is-laying-off-20percent-of-its-workforce.html,2400,Series E,10/12/23 22:18,United States,https://docs.google.com/spreadsheets/d/1jPHAa9OpCvSnWEDXRia7_MfxJs0duew4laVFNdOUt8c/edit#gid=1186596436
Splunk,SF Bay Area,Data,325,0.04,2/1/23,https://www.marketwatch.com/story/splunk-to-lay-off-4-of-its-staff-in-latest-sign-of-software-cutbacks-11675260328,2400,Post-IPO,2/1/23 17:01,United States,https://docs.google.com/spreadsheets/d/1uyTQmiT0CBSJBum-GVc-TDcPyL825RkAnBu9nNIA5wc/edit?resourcekey#gid=1886320755
Britishvolt,London,Transportation,206,1,1/17/23,https://www.nytimes.com/2023/01/17/business/uk-britishvolt-battery-maker-bankruptcy.html,2400,Unknown,1/18/23 2:07,United Kingdom,Unknown
Flexport,SF Bay Area,Logistics,640,0.2,1/11/23,https://www.cnbc.com/2023/01/11/flexport-to-lay-off-20percent-of-its-global-workforce.html,2400,Series E,1/11/23 17:30,United States,"https://alumni.flexport.com/
"
Instacart,SF Bay Area,Food,1877,,1/21/21,https://www.bloomberg.com/news/articles/2021-01-21/instacart-to-cut-1-900-jobs-including-its-only-union-positions,2400,Unknown,1/21/21 22:15,United States,Unknown
